workers,total_time,parallel_time
1,9.432249546051025,7.610294342041016
2,5.461022138595581,3.80546236038208
4,3.5661873817443848,2.033094644546509
8,2.8425309658050537,1.3027784824371338
16,2.76511812210083,1.1901452541351318
32,2.6778273582458496,1.1630065441131592
64,2.736114978790283,1.2299683094024658
