workers,total_time,parallel_time
1,9.80021047592163,8.383386373519897
2,5.768554925918579,4.322254419326782
4,4.07867956161499,2.5140581130981445
8,3.6461284160614014,2.2572858333587646
16,4.175922632217407,2.7920989990234375
32,5.146875381469727,3.220792770385742
64,4.851849317550659,3.3182826042175293
